"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.014620042E0,-2.040310055E-1,-1.798739135E-1,2.307266183E-2,2.729755002E-1
2.024561042E0,-2.178653628E-1,-1.892484576E-1,1.923915930E-2,2.892238583E-1
2.034502042E0,-2.034166455E-1,-2.317157537E-1,7.363059558E-3,3.084229836E-1
2.044443042E0,-1.767982394E-1,-2.366431206E-1,-3.262453945E-3,2.954119625E-1
2.054384042E0,-1.576849967E-1,-2.244817913E-1,-3.532498376E-3,2.743521666E-1
2.064325042E0,-1.457593143E-1,-2.012939602E-1,-2.159018256E-2,2.494617648E-1
2.074265042E0,-1.476983577E-1,-1.831437200E-1,-4.857492819E-2,2.402414425E-1
2.084206042E0,-1.475799531E-1,-1.718026996E-1,-8.218071610E-2,2.409350125E-1
2.094147042E0,-1.456840485E-1,-1.434285790E-1,-1.080024615E-1,2.312144696E-1
2.104088042E0,-1.479533315E-1,-1.081041470E-1,-1.193366051E-1,2.186730898E-1
2.114029042E0,-1.515832245E-1,-8.469442278E-2,-1.244259104E-1,2.136174768E-1
2.123970042E0,-1.430941373E-1,-8.413569629E-2,-1.227214858E-1,2.064347611E-1
2.133911042E0,-1.273372769E-1,-9.342506528E-2,-1.217052191E-1,1.993870239E-1
2.143852042E0,-1.144761592E-1,-9.984912723E-2,-1.109937727E-1,1.881336143E-1
2.153793042E0,-1.252305359E-1,-8.105733246E-2,-8.757899702E-2,1.729828286E-1
2.163734042E0,-1.373421401E-1,-5.134299770E-2,-7.414843142E-2,1.643075066E-1
2.173674042E0,-1.245981231E-1,8.831392974E-3,-7.649574429E-2,1.464728121E-1
2.183615042E0,-1.115649566E-1,6.205523014E-2,-8.430612832E-2,1.529873014E-1
2.193556042E0,-1.143658012E-1,1.020902619E-1,-9.884911776E-2,1.824091723E-1
2.203497042E0,-1.256219447E-1,1.223265082E-1,-1.059566662E-1,2.048693796E-1
2.213438042E0,-1.330375224E-1,1.403172314E-1,-1.036194786E-1,2.193738913E-1
2.223379042E0,-1.316686422E-1,1.362495720E-1,-8.886040002E-2,2.092767257E-1
2.233320042E0,-1.096791700E-1,1.136337370E-1,-6.010013074E-2,1.689797982E-1
2.243261042E0,-8.468888700E-2,6.980674714E-2,-1.829954609E-2,1.112657311E-1
2.253202042E0,-5.391553044E-2,1.753103174E-2,3.540123254E-2,6.683912598E-2
2.263142042E0,-1.069292426E-2,-3.679262474E-2,8.889152855E-2,9.679741583E-2
2.273083042E0,4.138066247E-2,-1.254327446E-1,1.289555877E-1,1.845948977E-1
2.283024042E0,1.218108535E-1,-2.035524994E-1,1.521738470E-1,2.818304166E-1
2.292965042E0,2.030423284E-1,-2.346947044E-1,1.624813378E-1,3.502969833E-1
2.302906042E0,2.490362078E-1,-2.294963151E-1,1.788297296E-1,3.829721447E-1
2.312847042E0,2.632630765E-1,-2.009512186E-1,1.798449308E-1,3.768727091E-1
2.322788042E0,2.483693361E-1,-1.580113769E-1,1.635780334E-1,3.367680142E-1
2.332729042E0,2.032029182E-1,-9.679701924E-2,1.439433396E-1,2.671718060E-1
2.342670042E0,1.405536681E-1,-3.737800941E-2,1.308800578E-1,1.956579637E-1
2.352611042E0,7.735445350E-2,-4.528981168E-3,1.227651313E-1,1.451740356E-1
2.362551042E0,3.483267128E-2,-6.410218310E-3,1.163732484E-1,1.216434907E-1
2.372492042E0,2.860646695E-2,-1.926103421E-2,1.167961583E-1,1.217811971E-1
2.382433042E0,2.870889008E-2,-1.352966577E-2,1.303647310E-1,1.341723343E-1
2.392374042E0,2.693043090E-2,-1.345270127E-2,1.498806328E-1,1.528738936E-1
2.402315042E0,1.178357657E-2,-3.348226100E-2,1.676011235E-1,1.713185660E-1
2.412256042E0,6.454383256E-4,-6.762398779E-2,1.727660447E-1,1.855303925E-1
2.422197042E0,-6.026062183E-3,-9.751253575E-2,1.721928716E-1,1.979782641E-1
2.432138042E0,-1.809630543E-2,-1.303722262E-1,1.774688661E-1,2.209515605E-1
2.442079042E0,-3.388611227E-2,-1.498114467E-1,1.901527643E-1,2.444377465E-1
2.452019042E0,-4.072351009E-2,-1.465014070E-1,1.942199469E-1,2.466626325E-1
2.461960042E0,-2.692526579E-2,-1.561771035E-1,1.902832538E-1,2.476367789E-1
2.471901042E0,6.619377993E-3,-1.592176408E-1,1.797387302E-1,2.402084187E-1
2.481842042E0,4.929818213E-2,-1.425812244E-1,1.728775799E-1,2.294479766E-1
