"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.417292375E0,1.128608047E1,-1.706451416E-1,4.893473969E0,1.230247210E1
1.427233375E0,1.104942261E1,-4.384382629E-1,5.059329071E0,1.216054188E1
1.437175375E0,1.080932190E1,-5.876779175E-1,5.275329895E0,1.204225522E1
1.447116375E0,1.054856415E1,-5.987548828E-1,5.243595886E0,1.179516896E1
1.457058375E0,1.017239639E1,-7.394622803E-1,5.103487244E0,1.140482507E1
1.466999375E0,9.819729767E0,-1.029708710E0,4.920268250E0,1.103161060E1
1.476941375E0,9.427245941E0,-1.503473511E0,4.670886841E0,1.062782116E1
1.486882375E0,9.656569061E0,-9.346563721E-1,4.644541626E0,1.075614594E1
1.496823375E0,9.813143463E0,-9.291178894E-1,4.680317230E0,1.091175577E1
1.506765375E0,9.361831970E0,-1.476529541E0,4.211791534E0,1.037126922E1
1.516706375E0,9.129664764E0,-1.801653442E0,3.993844757E0,1.012657542E1
1.526648375E0,9.322164459E0,-1.535207520E0,4.227508850E0,1.035043204E1
1.536589375E0,9.409432983E0,-1.561552734E0,4.176764374E0,1.041255188E1
1.546531375E0,9.166787567E0,-1.883682861E0,3.689228210E0,1.005925744E1
1.556472375E0,9.131610718E0,-1.882784729E0,3.528761902E0,9.969119981E0
1.566414500E0,9.257199554E0,-1.765428772E0,3.664529572E0,1.011144200E1
1.576355500E0,9.480834503E0,-1.770667877E0,3.715872803E0,1.033582112E1
1.586297500E0,9.331744537E0,-1.895208893E0,3.407813416E0,1.011367713E1
1.596238500E0,9.481882324E0,-2.139949951E0,3.300336914E0,1.026536419E1
1.606180500E0,9.420060883E0,-2.037113800E0,3.200793915E0,1.015541537E1
1.616121500E0,9.389524384E0,-2.144739990E0,3.149450684E0,1.013321851E1
1.626062500E0,9.454489288E0,-2.089355164E0,3.340303802E0,1.024257791E1
1.636004500E0,9.349407806E0,-2.113754425E0,3.509751434E0,1.020772939E1
1.645945500E0,9.282197571E0,-2.358345795E0,3.580105133E0,1.022438944E1
1.655887500E0,9.218280487E0,-2.489173737E0,3.715872803E0,1.024599393E1
1.665828500E0,9.239386597E0,-2.504292297E0,3.912264404E0,1.034135182E1
1.675770500E0,9.106463013E0,-2.594255219E0,3.830085297E0,1.021407764E1
1.685711500E0,8.990454254E0,-2.620450745E0,3.860023041E0,1.012890950E1
1.695653500E0,8.804989929E0,-2.595452728E0,3.633244629E0,9.872420628E0
1.705594500E0,8.703950043E0,-2.694846039E0,3.453767853E0,9.744201040E0
1.715536500E0,8.687184906E0,-2.727478180E0,3.521277466E0,9.762464535E0
1.725477500E0,8.715476074E0,-2.735261993E0,3.596720581E0,9.817208377E0
1.735419500E0,8.788224792E0,-2.843636627E0,3.660637665E0,9.935765314E0
1.745360500E0,8.812773743E0,-2.858156433E0,3.717669067E0,9.982740232E0
1.755302500E0,8.929830322E0,-2.781216431E0,3.752396851E0,1.007757493E1
1.765243500E0,9.070986786E0,-2.722837830E0,3.787274323E0,1.020000460E1
1.775184500E0,9.142088928E0,-2.684667206E0,3.704646149E0,1.022299521E1
1.785126500E0,9.085506592E0,-2.730172577E0,3.429218903E0,1.008760698E1
1.795067500E0,8.974587250E0,-2.761158142E0,3.215762787E0,9.925136820E0
1.805009500E0,9.037157135E0,-2.761008453E0,3.187471619E0,9.972630149E0
